rep_id,rep_name,territory_id,hcp_id,activity_type,activity_date,duration_minutes,samples_left,outcome
REP-041,Sameer Rajan,TER-17,HCP-0433,Virtual Meeting,2024-01-11,40,0,Follow-up Required
REP-015,Nikhil Mishra,TER-06,HCP-0160,Virtual Meeting,2024-01-11,27,0,Neutral
REP-047,Gopal Srivastava,TER-19,HCP-0459,Visit,2024-01-12,31,9,Neutral
REP-044,Heena Venkatesh,TER-18,HCP-0443,Visit,2024-01-12,34,2,Follow-up Required
REP-020,Sneha Deshmukh,TER-08,HCP-0214,Virtual Meeting,2024-01-12,58,0,Neutral
REP-016,Swati Chauhan,TER-06,HCP-0161,Phone Call,2024-01-12,38,0,Neutral
REP-048,Kalpana Khanna,TER-20,HCP-0486,Visit,2024-01-12,32,1,Follow-up Required
REP-023,Pranav Tiwari,TER-09,HCP-0221,Phone Call,2024-01-12,28,0,Follow-up Required
REP-026,Shruti Saxena,TER-10,HCP-0262,Virtual Meeting,2024-01-12,45,0,No Show
REP-039,Pradeep Shah,TER-16,HCP-0414,Visit,2024-01-12,31,2,Neutral
REP-007,Sanjay Verma,TER-03,HCP-0072,Phone Call,2024-01-12,39,0,Follow-up Required
REP-050,Lakshmi Pillai,TER-20,HCP-0488,Sample Drop,2024-01-12,31,14,Positive
REP-029,Siddharth Chopra,TER-12,HCP-0309,Visit,2024-01-12,35,1,Positive
REP-014,Meera Das,TER-05,HCP-0150,Virtual Meeting,2024-01-12,51,0,Positive
REP-017,Anand Yadav,TER-06,HCP-0163,Conference,2024-01-12,40,0,Positive
REP-035,Ravi Ghosh,TER-14,HCP-0352,Phone Call,2024-01-12,28,0,Positive
REP-044,Heena Venkatesh,TER-18,HCP-0452,Sample Drop,2024-01-12,64,14,Positive
REP-008,Kavita Nair,TER-03,HCP-0095,Visit,2024-01-12,50,12,Follow-up Required
REP-037,Naveen Deshpande,TER-15,HCP-0388,Visit,2024-01-12,38,11,No Show
REP-050,Lakshmi Pillai,TER-20,HCP-0487,Visit,2024-01-12,64,1,Positive
REP-034,Varsha Roy,TER-14,HCP-0352,Phone Call,2024-01-12,38,0,Positive
REP-035,Ravi Ghosh,TER-14,HCP-0362,Conference,2024-01-12,54,0,No Show
REP-004,Neha Gupta,TER-02,HCP-0044,Virtual Meeting,2024-01-12,29,0,Positive
REP-021,Rahul Shetty,TER-08,HCP-0205,Phone Call,2024-01-12,45,0,No Show
REP-042,Chitra Krishnan,TER-17,HCP-0433,Phone Call,2024-01-12,58,0,No Show
REP-011,Arun Rao,TER-04,HCP-0113,Visit,2024-01-12,56,8,Neutral
REP-021,Rahul Shetty,TER-08,HCP-0211,Visit,2024-01-12,53,6,Positive
REP-042,Chitra Krishnan,TER-17,HCP-0424,Phone Call,2024-01-13,17,0,Follow-up Required
REP-017,Anand Yadav,TER-06,HCP-0159,Conference,2024-01-13,30,0,Follow-up Required
REP-021,Rahul Shetty,TER-08,HCP-0217,Visit,2024-01-13,43,10,Neutral
REP-042,Chitra Krishnan,TER-17,HCP-0429,Phone Call,2024-01-13,26,0,Neutral
REP-029,Siddharth Chopra,TER-12,HCP-0296,Visit,2024-01-13,42,12,Follow-up Required
REP-023,Pranav Tiwari,TER-09,HCP-0238,Virtual Meeting,2024-01-13,29,0,No Show
REP-038,Smita Jain,TER-16,HCP-0411,Visit,2024-01-13,59,6,Neutral
REP-002,Priya Patel,TER-01,HCP-0004,Virtual Meeting,2024-01-13,22,0,Positive
REP-029,Siddharth Chopra,TER-12,HCP-0296,Phone Call,2024-01-13,33,0,Positive
REP-003,Amit Kumar,TER-01,HCP-0031,Sample Drop,2024-01-13,58,12,Positive
REP-033,Ajay Sen,TER-14,HCP-0359,Sample Drop,2024-01-13,33,9,Positive
REP-032,Aparna Chatterjee,TER-13,HCP-0325,Phone Call,2024-01-13,43,0,Neutral
REP-046,Isha Prasad,TER-19,HCP-0472,Conference,2024-01-13,57,0,Neutral
REP-003,Amit Kumar,TER-01,HCP-0027,Phone Call,2024-01-13,66,0,Positive
REP-041,Sameer Rajan,TER-17,HCP-0428,Phone Call,2024-01-13,47,0,Neutral
REP-005,Vikram Singh,TER-02,HCP-0056,Virtual Meeting,2024-01-13,15,0,Follow-up Required
REP-027,Kiran Malhotra,TER-11,HCP-0290,Sample Drop,2024-01-13,42,6,No Show
REP-009,Deepak Joshi,TER-03,HCP-0094,Phone Call,2024-01-13,18,0,Neutral
REP-021,Rahul Shetty,TER-08,HCP-0200,Visit,2024-01-13,61,13,Follow-up Required
REP-041,Sameer Rajan,TER-17,HCP-0416,Visit,2024-01-13,45,5,Positive
REP-007,Sanjay Verma,TER-03,HCP-0087,Conference,2024-01-13,34,0,Positive
REP-013,Rohit Banerjee,TER-05,HCP-0151,Conference,2024-01-13,26,0,Positive
REP-001,Rajesh Sharma,TER-01,HCP-0032,Visit,2024-01-13,13,8,Neutral
REP-045,Mohan Narayan,TER-18,HCP-0454,Phone Call,2024-01-13,59,0,Positive
REP-036,Tanvi Patil,TER-15,HCP-0368,Visit,2024-01-15,30,0,Neutral
REP-045,Mohan Narayan,TER-18,HCP-0439,Visit,2024-01-15,52,11,No Show
REP-027,Kiran Malhotra,TER-11,HCP-0281,Sample Drop,2024-01-15,29,7,Positive
REP-016,Swati Chauhan,TER-06,HCP-0161,Conference,2024-01-15,10,0,No Show
REP-027,Kiran Malhotra,TER-11,HCP-0277,Visit,2024-01-15,35,6,Neutral
REP-015,Nikhil Mishra,TER-06,HCP-0161,Phone Call,2024-01-15,56,0,Positive
REP-009,Deepak Joshi,TER-03,HCP-0071,Phone Call,2024-01-15,52,0,Neutral
REP-010,Anjali Mehta,TER-04,HCP-0120,Visit,2024-01-15,58,11,Positive
REP-046,Isha Prasad,TER-19,HCP-0462,Sample Drop,2024-01-15,21,5,Neutral
REP-047,Gopal Srivastava,TER-19,HCP-0471,Visit,2024-01-15,31,9,Positive
REP-015,Nikhil Mishra,TER-06,HCP-0169,Phone Call,2024-01-15,60,0,Neutral
REP-041,Sameer Rajan,TER-17,HCP-0428,Visit,2024-01-15,22,0,Positive
REP-026,Shruti Saxena,TER-10,HCP-0242,Virtual Meeting,2024-01-15,55,0,Neutral
REP-050,Lakshmi Pillai,TER-20,HCP-0488,Sample Drop,2024-01-15,29,4,Declined Meeting
REP-015,Nikhil Mishra,TER-06,HCP-0169,Virtual Meeting,2024-01-15,51,0,Positive
REP-044,Heena Venkatesh,TER-18,HCP-0439,Phone Call,2024-01-15,54,0,Positive
REP-019,Vivek Kulkarni,TER-07,HCP-0175,Visit,2024-01-15,21,5,Neutral
REP-049,Tarun Agarwal,TER-20,HCP-0486,Visit,2024-01-15,31,14,Neutral
REP-029,Siddharth Chopra,TER-12,HCP-0296,Phone Call,2024-01-15,54,0,Positive
REP-015,Nikhil Mishra,TER-06,HCP-0159,Visit,2024-01-15,48,2,Neutral
REP-046,Isha Prasad,TER-19,HCP-0462,Visit,2024-01-15,19,1,Neutral
REP-040,Bhavna Thakur,TER-16,HCP-0413,Visit,2024-01-15,47,1,No Show
REP-038,Smita Jain,TER-16,HCP-0408,Sample Drop,2024-01-15,68,14,Positive
REP-048,Kalpana Khanna,TER-20,HCP-0495,Phone Call,2024-01-16,22,0,Positive
